11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 0008
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\NEW FOLDER 001
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\ÐÂ½¨ÎÄ¼þ¼Ð
11:11:23 = OTHERS|1535512283132|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\ÐÂ½¨ÎÄ¼þ¼Ð\a1.rar
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å\a1.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å\a2.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å\a3.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å\a4.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å\a5.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-query[Manager.java:239]<-check[TXTManager_File.java:93]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a1.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a2.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a3.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a4.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a5.jpg
11:11:23 = OTHERS|1535512283133|Warning|QueryConditions is Wrong|query[TXTManager_ANY.java:323]<-check[TXTManager_File.java:111]<-connect[TXTManager_ANY.java:157]<-connect[Manager.java:87]<-loadServer_AddDepotAndDataBase[CFG.java:881]<-loadServerCFG[CFG.java:431]<-loadCFG[CFG.java:328]<-load[CFG.java:146]<-parepare[MainProcess.java:41]<-access$0[MainProcess.java:33]<-run[MainProcess.java:23]<-run[BasicProcess.java:222]|[&] url = D:\Space_For_Media\Pictures\FMX_Test_Depot_A\°¢¾Å°¢¾Å222\a6.jpg
