11:40:46 = RECEIVE_OVER_TIME|1530675646702|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-loadDepotCFG[CFGFile.java:1016]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
11:44:30 = CLIENT_CONNECTION_RUNNING_FAILED|1530675870275|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
11:44:30 = COMMUNICATOR_CONNECTION_CLOSED|1530675870275|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:09:54 = COMMUNICATOR_CONNECTION_CLOSED|1530677394531|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:14:34 = COMMUNICATOR_CONNECTION_CLOSED|1530677674188|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:15:56 = COMMUNICATOR_CONNECTION_CLOSED|1530677756137|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:27:46 = COMMUNICATOR_CONNECTION_CLOSED|1530678466917|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:33:52 = COMMUNICATOR_CONNECTION_CLOSED|1530678832716|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:42:31 = COMMUNICATOR_CONNECTION_CLOSED|1530679351534|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
12:53:46 = COMMUNICATOR_CONNECTION_CLOSED|1530680026908|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
13:45:37 = COMMUNICATOR_CONNECTION_CLOSED|1530683137356|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
13:59:04 = CLIENT_CONNECTION_RUNNING_FAILED|1530683944229|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
13:59:04 = COMMUNICATOR_CONNECTION_CLOSED|1530683944229|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:02:55 = RECEIVE_OVER_TIME|1530684175776|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
14:05:14 = CLIENT_CONNECTION_RUNNING_FAILED|1530684314915|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
14:05:14 = COMMUNICATOR_CONNECTION_CLOSED|1530684314915|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:17:07 = COMMUNICATOR_CONNECTION_CLOSED|1530685027135|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:20:38 = COMMUNICATOR_CONNECTION_CLOSED|1530685238995|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:23:25 = COMMUNICATOR_CONNECTION_CLOSED|1530685405656|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:31:45 = COMMUNICATOR_CONNECTION_CLOSED|1530685905324|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:37:03 = SEND_OVER_TIME|1530686223449|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-execute[LoginUser.java:94]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|You can check Your net make sure you and Server in a same LAN
14:37:03 = EXECUTE_COMMAND_FAILED|1530686223449|Error|Execute Command Failed|execute[LoginUser.java:96]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|Reply of QueryUser is NULL
14:37:29 = SERVER_CONNECTION_RUNNING_FAILED|1530686249385|Error|Error occurs in Server Connection Running|run[ServerConnection.java:449]|java.net.SocketException: Connection reset
14:37:33 = CLIENT_CONNECTION_RUNNING_FAILED|1530686253844|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
14:37:33 = COMMUNICATOR_CONNECTION_CLOSED|1530686253844|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:40:52 = BUILD_SOCKET_FAILED|1530686452943|Error|Build Socket Failed|setSocket[ClientConnection.java:204]<-loadDepotCFG[CFGFile.java:1006]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|java.net.ConnectException: Connection refused: connect
14:42:26 = RECEIVE_OVER_TIME|1530686546482|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
14:43:59 = SEND_OVER_TIME|1530686639663|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-execute[LoginUser.java:94]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|You can check Your net make sure you and Server in a same LAN
